Nastavené napětí	Naměřené napětí	Naměřený kmitočet	Odchylka absolutní	Odchylka relativní
00.5000	00.5001	4957.0000		
01.0000	01.0000	9903.0000		
01.5000	01.4999	14850.0000		
02.0000	01.9997	19800.0000		
02.5000	02.4991	24730.0000		
03.0000	02.9991	29670.0000		
03.5000	03.4985	34620.0000		
04.0000	03.9983	39560.0000		
04.5000	04.4980	44500.0000		
05.0000	04.9979	49440.0000		
05.5000	05.4975	54380.0000		
06.0000	05.9973	59320.0000		
06.5000	06.4969	64280.0000		
07.0000	06.9967	69230.0000		
07.5000	07.4963	74160.0000		
08.0000	07.9956	79100.0000		
