Vstupn’ napžt’;"Ru‹i‹kovù mikroampŽrmetr; rozsah 150 _A [_A] ";"GDM-8145; rozsah 200 _A [_A]";"GDM-8145; rozsah 2 mA [mA]";"IU PÞevodn’k; rozsah 2 V [V]"
0,2;0,9;1,33;0,0012;-0,0155
0,3;1,4;2,36;0,0024;-0,0277
0,4;2;3,69;0,0041;-0,0448
0,5;2,6;5,39;0,0064;-0,0684
0,6;3,3;7,48;0,0095;-0,1012
0,7;4;10;0,0136;-0,1459
0,8;4,8;12,96;0,0190;-0,2062
0,9;5,25;16,37;0,0260;-0,2867
1;6,4;20,23;0,0349;-0,3926
;;;;
;;;;
;;;; 
;;;;
;;;;
;;;;
Namžt’ na džli‹i;"Ru‹i‹kovù mikroampŽrmetr; rozsah 150 _A";"GDM-8145; rozsah 200 _A";"GDM-8145; rozsah 2 mA";"IU PÞevodn’k; rozsah 2 V"
0,02;0,9;1,33;1,2;1,55
0,03;1,4;2,36;2,4;2,77
0,04;2;3,69;4,1;4,48
0,05;2,6;5,39;6,4;6,84
0,06;3,3;7,48;9,5;10,12
0,07;4;10;13,6;14,59
0,08;4,8;12,96;19;20,62
0,09;5,25;16,37;26;28,67
0,1;6,4;20,23;34,9;39,26
;;;;
;;;;
;;;;
Relativn’ chyba metody;;;;
;;;;
Namžt’ na džli‹i;"Ru‹i‹kovù mikroampŽrmetr; rozsah 150 _A";"GDM-8145; rozsah 200 _A";"GDM-8145; rozsah 2 mA";
0,02;-0,419354839;-0,141935484;-0,225806452;
0,03;-0,494584838;-0,14801444;-0,133574007;
0,04;-0,553571429;-0,176339286;-0,084821429;
0,05;-0,619883041;-0,211988304;-0,064327485;
0,06;-0,673913043;-0,260869565;-0,061264822;
0,07;-0,725839616;-0,31459904;-0,067854695;
0,08;-0,767216295;-0,371483996;-0,0785645;
0,09;-0,816881758;-0,429019881;-0,093128706;
0,1;-0,836984208;-0,484717269;-0,111054508;
;;;;
;;;;
;;;;
;;;;
Relativn’ chyba metody;;;;
;;;;
Namžt’ na džli‹i;"Ru‹i‹kovù mikroampŽrmetr; rozsah 150 _A";"GDM-8145; rozsah 200 _A";"GDM-8145; rozsah 2 mA";
0,02;41,94;14,19;22,58;
0,03;49,46;14,80;13,36;
0,04;55,36;17,63;8,48;
0,05;61,99;21,20;6,43;
0,06;67,39;26,09;6,13;
0,07;72,58;31,46;6,79;
0,08;76,72;37,15;7,86;
0,09;81,69;42,90;9,31;
0,10;83,70;48,47;11,11;
